id_produccion,obra,productora,anio_inicio,anio_fin,teatro,gira,activa,id_obra,id_teatro
"101 DÁLMATAS, EL MUSICAL_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2023_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO","101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,False,True,1,1
ALADDÍN_STAGE ENTERTAINMENT_2023_TEATRO COLISEUM,Aladdín,Stage Entertainment,2023,2025,Teatro Coliseum,False,False,2,2
ANASTASIA_STAGE ENTERTAINMENT_2018_TEATRO COLISEUM,Anastasia,Stage Entertainment,2018,2020,Teatro Coliseum,False,False,3,2
ANNIE_THEATRE PROPERTIES_2010_TEATRO NUEVO ALCALÁ,Annie,Theatre Properties,2010,2011,Teatro Nuevo Alcalá,False,False,4,3
AVENUE Q_SMEDIA_2010_TEATRO NUEVO APOLO,Avenue Q,SMedia,2010,2011,Teatro Nuevo Apolo,False,False,5,4
AVENUE Q_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2024_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO,Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,False,True,5,1
BILLY ELLIOT_ATG ENTERTAINMENT_2017_TEATRO NUEVO ALCALÁ,Billy Elliot,ATG Entertainment,2017,2020,Teatro Nuevo Alcalá,True,False,6,3
CABARET_LET'S GO COMPANY_2025_TEATRO ALBÉNIZ,Cabaret,Let's Go Company,2025,,Teatro Albéniz,False,True,7,5
CANTANDO BAJO LA LLUVIA_NOSTROMO LIVE_2021_TEATRO TÍVOLI,Cantando bajo la lluvia,Nostromo live,2021,2023,Teatro Tívoli,True,False,8,6
CENICIENTA_STAGE ENTERTAINMENT_2025_TEATRO COLISEUM,Cenicienta,Stage Entertainment,2025,,Teatro Coliseum,False,True,9,2
CHARLIE Y LA FÁBRICA DE CHOCOLATE_LET'S GO COMPANY_2021_ESPACIO IBERCAJA DELICIAS,Charlie y la fábrica de chocolate,Let's Go Company,2021,2022,Espacio Ibercaja Delicias,True,False,10,7
