obra,productora,anio_inicio,anio_fin,teatro,gira,activa,duracion,genero,origen,id_produccion,anio_fin_filled
"101 Dálmatas, el musical",Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2023,,Gran Teatro CaixaBank Príncipe Pío,False,True,90,Comedia,Creación Propia,"101 DÁLMATAS, EL MUSICAL_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2023_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO",2025
Aladdín,Stage Entertainment,2023,2025,Teatro Coliseum,False,False,145,Familiar,Franquicia,ALADDÍN_STAGE ENTERTAINMENT_2023_TEATRO COLISEUM,2025
Anastasia,Stage Entertainment,2018,2020,Teatro Coliseum,False,False,95,Familiar,Franquicia,ANASTASIA_STAGE ENTERTAINMENT_2018_TEATRO COLISEUM,2020
Annie,Theatre Properties,2010,2011,Teatro Nuevo Alcalá,False,False,120,Familiar,Franquicia,ANNIE_THEATRE PROPERTIES_2010_TEATRO NUEVO ALCALÁ,2011
Avenue Q,SMedia,2010,2011,Teatro Nuevo Apolo,False,False,135,Comedia,Franquicia,AVENUE Q_SMEDIA_2010_TEATRO NUEVO APOLO,2011
Avenue Q,Teatropolis (Gran Teatro CaixaBank Príncipe Pío),2024,,Gran Teatro CaixaBank Príncipe Pío,False,True,135,Comedia,Franquicia,AVENUE Q_TEATROPOLIS (GRAN TEATRO CAIXABANK PRÍNCIPE PÍO)_2024_GRAN TEATRO CAIXABANK PRÍNCIPE PÍO,2025
Billy Elliot,ATG Entertainment,2017,2020,Teatro Nuevo Alcalá,True,False,150,Drama,Franquicia,BILLY ELLIOT_ATG ENTERTAINMENT_2017_TEATRO NUEVO ALCALÁ,2020
Cabaret,Let's Go Company,2025,,Teatro Albéniz,False,True,150,Drama,Franquicia,CABARET_LET'S GO COMPANY_2025_TEATRO ALBÉNIZ,2025
Cantando bajo la lluvia,Nostromo live,2021,2023,Teatro Tívoli,True,False,150,Comedia,Franquicia,CANTANDO BAJO LA LLUVIA_NOSTROMO LIVE_2021_TEATRO TÍVOLI,2023
Cenicienta,Stage Entertainment,2025,,Teatro Coliseum,False,True,145,Familiar,Franquicia,CENICIENTA_STAGE ENTERTAINMENT_2025_TEATRO COLISEUM,2025
Charlie y la fábrica de chocolate,Let's Go Company,2021,2022,Espacio Ibercaja Delicias,True,False,150,Familiar,Franquicia,CHARLIE Y LA FÁBRICA DE CHOCOLATE_LET'S GO COMPANY_2021_ESPACIO IBERCAJA DELICIAS,2022
Chicago,ATG Entertainment,2023,2025,Teatro Nuevo Apolo,True,False,140,Comedia,Franquicia,CHICAGO_ATG ENTERTAINMENT_2023_TEATRO NUEVO APOLO,2025
